"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Alex Len","TOR","PF,C","542","336","59","52","24",".525",".652","33","66","1,127","60"
"Jeff Teague","BOS","PG,SG","541","110","270","18","38",".436",".865","40","58","1,204","95"
"Denzel Valentine","CHI","SG,SF","539","189","111","13","55",".421",".749","100","66","1,198","55"
"Jordan Poole","GSW","SG","536","113","128","10","32",".386",".807","86","65","1,240","65"
"Kelly Olynyk","MIA","PF,C","533","273","106","25","37",".479",".826","84","67","1,231","71"
"Jaxson Hayes","NOR","C","532","294","63","67","28",".664",".654","1","65","1,201","53"
"Trevor Ariza","OKC","SG,SF","527","284","125","13","71",".418",".837","102","64","1,611","69"
"Jalen Brunson","DAL","PG,SG","524","143","196","5","28",".479",".766","47","65","1,205","68"
"Frank Kaminsky","SAC","PF,C","523","216","92","15","19",".475",".717","54","63","1,089","48"
"George Hill","OKC","PG,SG","519","157","150","10","47",".481",".825","66","65","1,284","55"
"Austin Rivers","NYK","PG,SG","516","151","124","13","40",".413",".626","73","68","1,660","54"
"Dorian Finney-Smith","DAL","SF,PF","509","313","89","33","46",".456",".726","81","67","1,601","57"
"Jalen Smith","PHO","PF","505","285","42","48","24",".527",".729","34","67","1,348","64"
"Enes Kanter","POR","C","502","419","61","32","20",".568",".745","3","61","1,011","65"
"Dwight Howard","PHI","PF,C","502","477","44","63","30",".680",".520","2","66","1,297","80"
"Rajon Rondo","ATL","PG","499","244","387","7","59",".417",".647","63","63","1,558","140"
"Sekou Doumbouya","DET","SF,PF","498","241","37","18","42",".402",".681","53","61","1,511","68"
"Derrick Jones Jr.","POR","SG,SF,PF","490","243","57","42","55",".492",".718","35","60","1,366","34"
"P.J. Tucker","HOU","PF,C,SF","486","442","94","31","83",".414",".763","108","69","2,371","63"
"Boban Marjanovic","DAL","C","484","322","52","27","17",".610",".758","8","61","781","64"
"Patrick Beverley","LAC","PG,SG","483","309","218","30","62",".422",".715","98","62","1,630","74"
"Chris Boucher","TOR","PF,C","476","319","29","78","29",".465",".791","43","64","972","34"
"Matisse Thybulle","PHI","SG,SF","472","128","99","58","109",".431",".651","81","64","1,594","64"
"Frank Ntilikina","NYK","PG,SG","471","160","226","23","69",".391",".819","65","66","1,575","99"
"Robin Lopez","WAS","C","469","184","60","47","9",".554",".665","17","66","1,141","68"
"Tyus Jones","MEM","PG","463","120","293","7","65",".449",".799","44","67","1,367","54"
"Onyeka Okongwu","ATL","PF,C","462","251","46","56","31",".542",".711","10","63","1,097","86"
"JaVale McGee","CLE","C","459","363","33","81","29",".617",".650","1","67","1,083","58"
"De'Anthony Melton","MEM","PG,SG","456","226","191","23","79",".411",".791","44","65","1,252","91"
"Willie Cauley-Stein","DAL","PF,C","455","339","89","43","47",".585",".571","0","66","1,157","43"
"Keldon Johnson","SAS","SF","450","175","53","8","45",".505",".772","34","50","915","40"
"Reggie Bullock","NYK","SG,SF","450","119","77","7","34",".422",".847","83","62","1,316","39"
"Harry Giles III","POR","PF,C","444","263","80","25","32",".541",".717","0","63","968","62"
"Rodney Hood","POR","SG,SF","442","110","61","9","32",".470",".830","63","45","1,095","33"
"Kyle Anderson","MEM","SF,PF","442","336","167","42","62",".517",".637","20","68","1,528","74"
"Willy Hernangomez","NOR","C","434","322","63","21","19",".555",".667","12","62","807","68"
"Al-Farouq Aminu","ORL","SF,PF","427","342","67","25","47",".396",".813","62","60","1,423","49"
"Kris Dunn","ATL","PG,SG,SF ","427","180","214","21","71",".442",".764","33","62","1,259","85"
"Bruce Brown","FA","SG","427","227","179","28","49",".449",".745","28","65","1,480","76"
"Zach Collins","POR","PF,C ","420","263","62","52","21",".480",".761","37","55","1,209","65"
